frame;text
1;oO,344,25b,33,LR
2;oO,344,25b,LR
3;oO,344,25b,a9,LR
4;LR,32,25b,oO,344
5;oO,344,25b,_bS,LR
6;oO,344,25b,.,78,LR
7;oO,344,25b,.3!,LR
8;Oo,344,2b,10,64,LR
9;Oo,344,296,11la7z,LR
10;LR,_30,13,25b,oO,344
11;o,344,25b,14_b3,LR
12;oO,344,25b,1S_,9b,LR
13;Oo,344,29b,17,29,LR
14;o,34b,278,_oo,LR
15;Oo,34b,278,oo,LR
16;Oo,34b,278,_oo,LR
17;Oo,34b,278,_oo,LR
18;Oo,34b,278,_oo,LR
19;LR,oo,278,Oo,34b
20;Oo,34b,278,_oo,LR
21;Oo,34b,278,_oo,LR
22;Oo,34b
23;LR,q,278,Oo,34b
24;O,34%b,298,10,00,LR
25;0,34b,298,11,00,LR
26;O,34%b,298,12,00,LR
27;O,34%b,298,13,00,LR
28;O,34b,298,14%,00,LR
29;O,34%b,298,1S.00,LR
30;O,34%b,298,Ib,0O,=LR
31;O,34b,298,17,00,LR
32;O,34%b,298,18,00,LR
33;O,34b,298,19,00,LR
34;Oo,34b,258,20,00,LR
35;O,34%b,298,21,00,LR
36;Oo,34b,258,e2_.oo,LR
37;Oo,34b,258,23,00,LR
