frame;text
1;O,ATTACKAIRHI,ATTACKAIRHI,oo
2;O,ATTACKAIRHI,ATTACKAIRHI
3;O,ATTACKAIRHI,ATTACKAIRHI
4;O,ATTACKAIRHI,ATTACKAIRHI,_oo
5;O,ATTACKAIRHI,ATTACKAIRHI
6;O,ATTACKAIRHI,ATTACKAIRHI,_oo
7;O,ATTACKAIRHI,ATTACKAIRHI,_oo
8;O,ATTACKAIRHI,ATTACKAIRHI
9;O,ATTACKAIRHI,ATTACKAIRHI,;,$,1,_oo
10;O,ATTACKAIRHI,ATTACKAIRHI,10,00,;,%,q
11;O,ATTACKAIRHI,ATTACKAIRHI,;,i,é,Y,oo
12;O,ATTACKAIRHI,ATTACKAIRHI,12,00
13;O,ATTACKAIRHI,ATTACKAIRHI,13,00
14;O,ATTACKAIRHI,ATTACKAIRHI,14,00
15;O,ATTACKAIRHI,ATTACKAIRHI,15,00
16;O,ATTACKAIRHI,ATTACKAIRHI,1b,00
17;O,ATTACKAIRHI,ATTACKAIRHI,17,00
18;O,ATTACKAIRHI,ATTACKAIRHI,16,00
19;O,ATTACKAIRHI,ATTACKAIRHI,19,00
20;O,ATTACKAIRHI,ATTACKAIRHI,20,00
21;O,ATTACKAIRHI,ATTACKAIRHI,el,_oo
22;O,ATTACKAIRHI,ATTACKAIRHI,e2_.oo
23;O,ATTACKAIRHI,ATTACKAIRHI,23,00
24;O,ATTACKAIRHI,ATTACKAIRHI,e4,oo
25;O,ATTACKAIRHI,ATTACKAIRHI,25,00
26;O,ATTACKAIRHI,ATTACKAIRHI,2b_00
27;oo"2ea,IHYIVADVLIV,IHMIVADVLiv,oO
28;O,ATTACKAIRHI,ATTACKAIRHI,28,00
29;O,ATTACKAIRHI,ATTACKAIRHI,29,00
30;O,ATTACKAIRHI,ATTACKAIRHI,30,00
31;O,ATTACKAIRHI,ATTACKAIRHI,31,_oo
32;O,ATTACKAIRHI,ATTACKAIRHI,32,00
33;O,ATTACKAIRHI,ATTACKAIRHI,33,00
34;O,ATTACKAIRHI,ATTACKAIRHI,34,_o00
35;O,ATTACKAIRHI,ATTACKAIRHI,35,00
36;O,ATTACKAIRHI,ATTACKAIRHI,3b,_00
37;oo,"ze,IHYIVADVLIV,IHMIVADVLiv,oO
38;O,ATTACKAIRHI,ATTACKAIRHI,38,00
39;O,ATTACKAIRHI,ATTACKAIRHI,39,00
40;O,ATTACKAIRHI,ATTACKAIRHI,40,00
41;O,ATTACKAIRHI,ATTACKAIRHI,4!,oo
42;O,ATTACKAIRHI,ATTACKAIRHI,42,00
43;O,ATTACKAIRHI,ATTACKAIRHI,43,00
44;O,ATTACKAIRHI,ATTACKAIRHI,44,_00
45;O,ATTACKAIRHI,ATTACKAIRHI,4+S_00
46;O,ATTACKAIRHI,ATTACKAIRHI,+b_OO
47;O,ATTACKAIRHI,ATTACKAIRHI,47,00
48;O,ATTACKAIRHI,ATTACKAIRHI,46,00
49;O,ATTACKAIRHI,ATTACKAIRHI,49,00
50;O,ATTACKAIRHI,ATTACKAIRHI,so_.o00
51;O,ATTACKAIRHI,ATTACKAIRHI,si,_oo
52;O,ATTACKAIRHI,ATTACKAIRHI,se_oo
53;O,ATTACKAIRHI,ATTACKAIRHI,$3,000
54;O,ATTACKAIRHI,ATTACKAIRHI,s4¥_o0o
55;O,ATTACKAIRHI,ATTACKAIRHI,ss_oo
56;O,ATTACKAIRHI,ATTACKAIRHI,Sb_oOo
57;O,ATTACKAIRHI,ATTACKAIRHI,s7_o00
58;O,ATTACKAIRHI,ATTACKAIRHI,s6_.o00
59;O,ATTACKAIRHI,ATTACKAIRHI,$900
60;O,ATTACKAIRHI,ATTACKAIRHI,bO_oOO0
61;O,ATTACKAIRHI,ATTACKAIRHI,BI,_oo
62;O,ATTACKAIRHI,ATTACKAIRHI,be,_oo
63;O,ATTACKAIRHI,ATTACKAIRHI,63,00
64;O,ATTACKAIRHI,ATTACKAIRHI,bY,OO
65;O,ATTACKAIRHI,ATTACKAIRHI,bS_oOo
66;O,ATTACKAIRHI,ATTACKAIRHI,bb,_OO
67;O,ATTACKAIRHI,ATTACKAIRHI,b7_oOO0
68;O,ATTACKAIRHI,ATTACKAIRHI,be,oOo
