frame;text
1;ESCAPEAIR,1.00,-1,oo
2;ESCAPEAIR,2.00,-1,oo
3;ESCAPEAIR,3,00,=-1,00
4;ESCAPEAIR,4_o00,-1,00
5;ESCAPEAIR,s_oo,=-1,oo
6;ESCAPEAIR,boo,-1,oo
7;ESCAPEAIR,7.00,-1,oo
8;ESCAPEAIR,8.00,-1,00
9;ESCAPEAIR,9_o00,-1,oo
10;ESCAPEAIR,10,00,-1'o0
11;ESCAPEAIR
12;ESCAPEAIR,12,00,-1'o0
13;ESCAPEAIR
14;ESCAPEAIR,14,00,-1°00
15;ESCAPEAIR,1S_o0,-1"o0
16;ESCAPEAIR,1b,OO,-!"o0
17;ESCAPEAIR
18;ESCAPEAIR,18,00,-!"o0
19;ESCAPEAIR,1900,-1'o0
20;ESCAPEAIR,20,,-!,oo,"oo
21;ESCAPEAIR
22;ESCAPEAIR,22,,-ty,oo,oo
23;ESCAPEAIR,23,,-ty,oo,oo
24;ESCAPEAIR,24,00,-1'o0
25;ESCAPEAIR,es,,-ty,oo,oo
26;ESCAPEAIR,2b_00,-!"oo
27;ESCAPEAIR,27,00,-1'o0
28;ESCAPEAIR,28,,-ty,oo,oo
29;ESCAPEAIR,29,00,-1'o0
30;ESCAPEAIR,30,,-ty,oo,oo
31;ESCAPEAIR
32;ESCAPEAIR,32,,-ty,oo,oo
33;ESCAPEAIR,33,,-ty,oo,oo
34;ESCAPEAIR,34,oo,=-1'o0
35;ESCAPEAIR,3s,,-ty,oo,oo
36;ESCAPEAIR,3b,,00,-1'o0
37;ESCAPEAIR,37,00,=-1'o0
38;ESCAPEAIR,38,,-ty,oo,oo
39;ESCAPEAIR,39,00,=-17o0
40;ESCAPEAIR,40_00,-1'o0
41;ESCAPEAIR
42;ESCAPEAIR,ie,-I,oo,"oo
43;ESCAPEAIR,43.,-I,oo,"oo
44;ESCAPEAIR,4400,-1°00
45;ESCAPEAIR,4S_00,-17o0
46;ESCAPEAIR,4b_00,-!"o0
47;ESCAPEAIR,47,00,-1'o0
48;ESCAPEAIR,48_00,-!'oo0
