frame;text
1;300,1.00,-1,oo
2;300,2.00,-1,oo
3;300,3,00,=-1,00
4;300,4_o00,-1,00
5;300,s_oo,=-1,oo
6;300,boo,-1,oo
7;300,7.00,-1,oo
8;300,8.00,-1,00
9;300,9_o00,-1,oo
10;300,10,00,-1'o0
11;300
12;300
13;300
14;300,14,O00,-1*o00
15;300
16;300,1b,OO,-!"o0
17;300
18;300,18,00,-!"o0
19;300,9,,-I,oo,"oo
20;300,20,,-!,oo,"oo
21;300
22;300
23;300
24;300
25;oO,347?,O,SLEEP,301,o.oo,-1,00
26;oO,347?,O,SLEEP,301
27;oO,347?,O,SLEEP,301
28;oO,347?,O,SLEEP,301
29;oO,347?,O,SLEEP,301,4_o00,-1,00
30;oO,347?,O,SLEEP,301
31;oO,347?,O,SLEEP,301,boo,-1,oo
32;oO,347?,O,SLEEP,301,7.00,-1,oo
33;oO,347?,O,SLEEP,301
34;oO,347?,O,SLEEP,301
35;oO,347?,O,SLEEP,301
36;oO,347?,O,SLEEP,301
37;Oo,O,SLEEP,347,301,.,12,00,-1'o0
38;302,o.oo,-1,00
39;302,1.00,-1,oo
40;2.00,-1,oo
41;oo,x,302,4,3.00,x
42;302,4_o00,-1,00
43;
44;302,boo,-1,oo
45;7.00,-1,oo
46;302,8.oo,=1_00
47;9_o00,-1,oo
48;302,10,00,-1'o0
49;302
50;302,12,00,-1'o0
51;302
52;302,14,O00,-1*o00
53;302,1S_o0,-1"o0
54;302,1b,OO,-!"o0
55;302
56;302,18,00,-!"o0
57;19,00,302,17.96
58;302,20,,-ty,oo,oo
59;302
60;oo,348,SLEEP,302
61;oo,348,SLEEP,302
62;302
63;302
64;oO,348,O,SLEEP
65;302,27.00,-1'o0
66;302,28,,-ty,oo,oo
67;302,29,00,-1'o0
68;302,30,,-ty,oo,oo
69;302
70;302,32,,-ty,oo,oo
71;302,33,,-ty,oo,oo
72;302,34,oo,=-1'o0
73;302,3s,,-ty,oo,oo
74;302,3b,,00,-1'o0
75;302,37,00,=-1'o0
76;302,38,,-ty,oo,oo
