frame;text
1;ATTACKAIRG,1.00,-1,oo
2;O,ATTACKAIRG,ATTACKAIRB,2.00,O,SLEEP,-1_o0
3;O,ATTACKAIRG,ATTACKAIRB,3,00,O,SLEEP,-1_o00
4;ATTACKAIRG,4_o00,-1,00
5;ATTACKAIRG,s_oo,=-1,oo
6;ATTACKAIRG,boo,-1,oo
7;ATTACKAIRG,7.00,-1,oo
8;O,ATTACKAIRG,ATTACKAIRB,8.00,O,SLEEP,-1_o00
9;ATTACKAIRG,9_o00,-1,oo
10;ATTACKAIRB,10,00,-1'o0
11;ATTACKAIRG
12;ATTACKAIRB,12,00,-1'o0
13;ATTACKAIRG
14;ATTACKAIRG,14,O00,-1*o00
15;ATTACKAIRG,1S,,-I,oo,"oo
16;ATTACKAIRB,1b,,oO,-1'o0
17;ATTACKAIRG
18;ATTACKAIRB,18,00,-1'o0
19;ATTACKAIRB,19,00,-1'o0
20;ATTACKAIRG,20,,-!,oo,"oo
21;ATTACKAIRG
22;ATTACKAIRG,22,,-ty,oo,oo
23;ATTACKAIRG,23,,-ty,oo,oo
24;ATTACKAIRB,24,_o00,-1'o0
25;ATTACKAIRG,es,,-ty,oo,oo
26;ATTACKAIRB,2b_00,-!"oo
27;ATTACKAIRB,27,00,-1'o0
28;ATTACKAIRG,28,,-ty,oo,oo
29;ATTACKAIRB,29_00,-1'o0
30;ATTACKAIRG,30,,-ty,oo,oo
31;ATTACKAIRG
32;ATTACKAIRG,32,,-ty,oo,oo
33;ATTACKAIRG,33,00,=1"'00
34;ATTACKAIRG,34,oo,=1°00
