frame;text
1;ATTACKAIRLW,1.00,-1,oo
2;ATTACKAIRLW,2.00,-1,oo
3;ATTACKAIRLW,3,00,=-1,00
4;ATTACKAIRLW,4_o00,-1,00
5;ATTACKAIRLW,s_oo,=-1,oo
6;ATTACKAIRLW,boo,-1,oo
7;ATTACKAIRLW,7.00,-1,oo
8;ATTACKAIRLW,8.00,-1,00
9;ATTACKAIRLW,9_o00,-1,oo
10;ATTACKAIRLW,10,00,-1'o0
11;ATTACKAIRLW
12;ATTACKAIRLW,12,,-I,oo,"oo
13;ATTACKAIRLW
14;O,ATTACKAIRLW,ATTACKAIRLW,14,00,O,SLEEP,-1"o0
15;O,ATTACKAIRLW,ATTACKAIRLW,15,00,O,SLEEP,-1"o0
16;O,ATTACKAIRLW,ATTACKAIRLW,1b,o00,O,SLEEP,-1,00
17;d3308S,oO,MIMIVADVLLIV,AIMIVvASvLiiv,O
18;ATTACKAIRLW,18,00,-1'o0
19;ATTACKAIRLW,19_00,-1'o00
20;ATTACKAIRLW,20,,-!,oo,"oo
21;ATTACKAIRLW
22;ATTACKAIRLW,22,,-ty,oo,oo
23;ATTACKAIRLW,23,,-ty,oo,oo
24;ATTACKAIRLW,2400,-1'o0
25;ATTACKAIRLW,es,,-!,oo,"oo
26;ATTACKAIRLW,2b,_00,-1'oo0
27;ATTACKAIRLW,e7,,-1,oo,"oo
28;ATTACKAIRLW,28,,-ty,oo,oo
29;ATTACKAIRLW,29,00,-1'o0o
30;ATTACKAIRLW,30,,-ty,oo,oo
31;ATTACKAIRLW
32;ATTACKAIRLW,32,,-!,oo,"oo
33;ATTACKAIRLW,33,,-!,oo,"oo
34;ATTACKAIRLW,34,oo,-1'o00
35;ATTACKAIRLW,3s,,-ty,oo,oo
36;ATTACKAIRLW,3b,00,-1"oo
37;ATTACKAIRLW,37,00,-1'o0o
38;ATTACKAIRLW,38,,-ty,oo,oo
39;ATTACKAIRLW,39,00,-1'oo
40;ATTACKAIRLW,40,00,-1'o0
41;ATTACKAIRLW
42;ATTACKAIRLW,42,00,-1'o0
