frame;text
1;ATTACKDASH,1.00,-1,oo
2;ATTACKDASH,2.00,-1,oo
3;ATTACKDASH,3,00,=-1,00
4;ATTACKDASH,4_o00,-1,00
5;ATTACKDASH,s_oo,=-1,oo
6;ATTACKDASH,boo,-1,oo
7;ATTACKDASH,7.00,-1,oo
8;ATTACKDASH,8.00,-1,00
9;OQ,ATTACKDASH,ATTACKDASH,9.00,O,SLEEP,-1_o00
10;O,ATTACKDASH,ATTACKDASH,10,00,O,SLEEP,-1,"oo
11;-,d3308S,oO
12;oo:,al-,J3a318S,a,oo,2!,HSVdaoVLLV,HSvdsa5vLliv,O
13;=—,ae,.,-,a,~*~,+,rr,oo,1-,d3378,oO,El,HSvda5vVLLIv,HSvdaovliv,O
14;QO,ATTACKDASH,ATTACKDASH,14,00,GO,SLEEP,-1'o00
15;ATTACKDASH,1S_o0,-1"o0
16;ATTACKDASH,Ib,,-1,oo,"oo
17;ATTACKDASH
18;ATTACKDASH,18,00,-!"o0
19;ATTACKDASH,9,,-I,oo,"oo
20;ATTACKDASH,20,,-ty,oo,oo
21;ATTACKDASH
22;ATTACKDASH,22,,-!,oo,"oo
23;ATTACKDASH,23,,-!,oo,"oo
24;ATTACKDASH,24,,-I,oo,"oo
25;ATTACKDASH,es,,-ty,oo,oo
26;ATTACKDASH,2b_00,-!"oo
27;ATTACKDASH,27,00,-1'o0
28;ATTACKDASH,28,,-ty,oo,oo
29;ATTACKDASH,29_00,-1'o0
30;ATTACKDASH,30,,-ty,oo,oo
31;ATTACKDASH
32;ATTACKDASH,32,,-!,oo,"oo
33;ATTACKDASH,33,,-ty,oo,oo
34;ATTACKDASH,34,oo,=-1'o0
35;ATTACKDASH,3s,,-ty,oo,oo
36;WALKSLOW,oo,oo
