frame;text
1;Oo,355,O,SLEEP,307,1.00,-1,oo
2;Oo,355,O,SLEEP,307,2.00,-1,oo
3;307
4;Oo,355,O,SLEEP,307,4_o00,-1,00
5;Oo,355,O,SLEEP,307
6;Oo,355,O,SLEEP,307,boo,-1,oo
7;Oo,355,O,SLEEP,307,7.00,-1,oo
8;Oo,355,O,SLEEP,307,8.00,-1,00
9;Oo,355,O,SLEEP,307,9_o00,-1,oo
10;Oo,355,O,SLEEP,307
11;Oo,355,O,SLEEP,307
12;Oo,355,O,SLEEP,307
13;Oo,355,O,SLEEP,307
14;Oo,355,O,SLEEP,307,14,00,-1°00
15;Oo,O,SLEEP,ass,307,1S_o0,-1"o0
16;Oo,355,O,SLEEP,307,1b,,00,-1"'o00
17;307,17,00
18;Oo,355,O,SLEEP,307
19;Oo,355,O,SLEEP,307
20;Oo,355,O,SLEEP,307,20,,-ty,oo,oo
21;21,00,307,21.99
22;Oo,355,O,SLEEP,307,22,,-!,oo,"oo
23;Oo,355,O,SLEEP,307,23,,-!,oo,"oo
24;Oo,355,O,SLEEP,307,24,,-I,oo,"oo
25;Oo,355,O,SLEEP,307,25,00,-1*o00
26;Oo,355,O,SLEEP,307,2b,,-!,oo,"oo
27;Oo,355,307,27.90,O,SLEEP,oo
28;Oo,355,O,SLEEP,307,28,,-ty,oo,oo
29;Oo,O,SLEEP,ass,307,29,00,-1'o0
30;Oo,355,O,SLEEP,307,30,,-ty,oo,oo
31;Oo,355,O,SLEEP,307
32;Oo,355,O,SLEEP,307,32,,-ty,oo,oo
33;Oo,355,O,SLEEP,307,33,,-!,oo,"oo
34;Oo,355,O,SLEEP,307,34,-I,oo,"oo
35;Oo,355,O,SLEEP,307,3s,,-ty,oo,oo
36;Oo,355,O,SLEEP,307,Bb.,-!,oo,"oo
37;Oo,355,O,SLEEP,307,37,,-1,oo,"oo
38;Oo,355,O,SLEEP,307,38,,-ty,oo,oo
39;Oo,O,SLEEP,ass,307,39,00,=-17o0
40;Oo,O,SLEEP,ass,307,40_00,-1'o0
41;Oo,355,O,SLEEP,307
42;Oo,O,SLEEP,ass,307,42_00,-''o0
43;Oo,O,SLEEP,ass,307,43_00,-17o0
44;O,SLEEP,O,3be2,-1_00,o_oo,LR
45;O,SLEEP,O,3be2,-1,oo,LR
46;O,SLEEP,O,3be2,-1_00,2_o0,LR
47;O,SLEEP,O,3be2,-1_00,3,00,LR
48;O,SLEEP,O,3be2,-!_00,4,00,LR
49;O,SLEEP,O,3be2,-1_00,s_oo,LR
50;O,SLEEP,O,3be2,-1,00,b_oo,LR
51;O,SLEEP,O,3be2,-1_00,7,00,LR
52;O,SLEEP,O,3be2,-1_00,8_oo,LR
53;O,SLEEP,O,3be2,-!.00,q,oo,LR
54;O,SLEEP,O,3be2,-1,00,10700,LR
55;O,SLEEP,O,3be2
56;O,SLEEP,O,3be2,-1,00,12700,LR
57;O,SLEEP,O,3be2,LR
58;O,SLEEP,O,3be2,-1,00,14700,LR
59;O,SLEEP,O,3be2,-1,00,1s"oo,LR
60;O,SLEEP,O,3be2,-1,00,16700,LR
61;O,SLEEP,O,3be2,LR
62;O,SLEEP,O,3be2,-1,00,16700,LR
63;O,SLEEP,O,3be2,-1,00,19700,LR
64;O,SLEEP,O,3be2,-1,00,20'00,LR
65;O,SLEEP,O,3be2
66;O,SLEEP,O,3be2,-1,00,2e'00,LR
67;O,SLEEP,O,3be2,-1,00,23°00,LR
68;O,SLEEP,O,3be2,-1,o00,24"o00,LR
