frame;text
1;O,ATTACKLW4+,ATTACKLW+,1.00,O,SLEEP,-1_o00
2;O,ATTACKLW4+,ATTACKLW+,1.00,O,SLEEP,-1_o00
3;O,ATTACKLW4+,ATTACKLW+,2.00,O,SLEEP,-1_o0
4;ATTACKLW4,3,00,=-1,00
5;ATTACKLW4,4_o00,-1,00
6;ATTACKLW4,s_oo,=-1,oo
7;ATTACKLW4,boo,-1,oo
8;ATTACKLW4,7.00,-1,oo
9;ATTACKLW4,8.00,-1,00
10;ATTACKLW4,9_o00,-1,oo
11;ATTACKLW4,10,00,-1'o0
12;ATTACKLW4
13;ATTACKLW4,12,,-I,oo,"oo
14;ATTACKLW4
15;ATTACKLW4
16;ATTACKLW4,1S_o00,-1'o0
17;O,ATTACKLW4+,ATTACKLW+,1b,o00,O,SLEEP,-1"o0
18;oo,,i-,J3378S,a,ai,AMIADVLLIV,HATNADVLiLY,O
19;oo,1-,d3378,oO
20;ATTACKLW4
21;ATTACKLW4,20,,-!,oo,"oo
22;ATTACKLW4
23;ATTACKLW4,22,,-ty,oo,oo
24;ATTACKLW4,23,,-ty,oo,oo
25;ATTACKLW4,24_o00,-1"o0
26;ATTACKLW4,es,,-ty,oo,oo
27;ATTACKLW4,2b,,-!,oo,"oo
28;ATTACKLW4,e7,,-1,oo,"oo
29;ATTACKLW4,28,,-!,oo,"oo
30;_oo,-1'o0,2a,ATTACKLW4,ATTACKLW+,SLEEP,Oo,Oo
31;ATTACKLW4,30,,-!,oo,"oo
32;ATTACKLW4
33;ATTACKLW4,32,00,=1'o00
34;ATTACKLW4,33,00,=1"'00
35;ATTACKLW4,34,oo,=1°00
36;ATTACKLW4,35,00,=1"°00
37;ATTACKLW4,3b,,00,=1"'o00
38;ATTACKLW4,37,00,=17°00
