frame;text
1;ATTACKLW3
2;ATTACKLW3
3;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
4;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
5;ATTACKLW3
6;ATTACKLW3
7;ATTACKLW3
8;ATTACKLW3
9;ATTACKLW3
10;ATTACKLW3
11;ATTACKLW3
12;ATTACKLW3,12,,-I
13;ATTACKLW3
14;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
15;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
16;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
17;d3308S,oO,EM,IADVLLIV,EM,1a,5viiv,O
18;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
19;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3,ge.
20;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
21;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
22;EM,IADVLLIV,d3318,EM,IADVLLV,Oo,Oo
23;Oo,Oo,ATTACKLWI3,SLEEP,ATTACKLW3
24;ATTACKLW3
25;ATTACKLW3,es,,-ty,oo,oo
26;ATTACKLW3,2b,_00,-1'oo0
27;ATTACKLW3,27,00,-1'o0
28;ATTACKLW3,28,,-ty,oo,oo
29;ATTACKLW3,29,00,-1'o0
30;ATTACKLW3,30,00,=1'o00
