frame;text
1;ATTACKS4#S,1.00,-1,oo
2;ATTACKS4#S,1.00,-1,oo
3;ATTACKS4#S,2.00,-1,oo
4;ATTACKS4#S,3,00,=-1,00
5;ATTACKS4#S,4_o00,-1,00
6;ATTACKS4#S,s_oo,=-1,oo
7;ATTACKS4#S,boo,-1,oo
8;ATTACKS4#S,7.00,-1,oo
9;ATTACKS4#S,8.00,-1,00
10;ATTACKS4#S,9_o00,-1,oo
11;ATTACKS4S,10,00,-1700
12;ATTACKS4#S
13;ATTACKS4S,12,00,-1700
14;ATTACKS4#S
15;ATTACKS4#S,14,O00,-1*o00
16;ATTACKS4S,1S_o0,-1700
17;ATTACKS4#S,Ib,,-1,oo,"oo
18;ATTACKS4#S
19;ATTACKS4#S
20;ATTACKS4#S
21;ATTACKS4#S
22;ATTACKS4#S
23;O,ATTACKS4#S,ATTACKS4S,e2.o0,O,SLEEP,-I,—,~,—_,¢,e,=,——--,“er
24;ATTACKS4#S,23,,-!,oo,"oo
25;ATTACKS4#S
26;ATTACKS4#S,es,,-!,oo,"oo
27;alt,J3a318S,a,oo,92,ShSASVLIV,ShSADVilv,O
28;ATTACKS4S,27,00,-1'o0
29;ATTACKS4#S
30;ATTACKS4#S
31;ATTACKS4#S,30,,-!,x,*,oo,"oo,+,x,Mx
32;ATTACKS4#S
33;ATTACKS4#S,32,,-ty,x,MY,oo,oo,x,*,x,®,y
34;ATTACKS4S,33,00,=-1'o0,1,oo,x,x,&,x
35;ATTACKS4#S,34,-I,oo,oo,x,*,x,®,x
36;ATTACKS4S,35,90,x,*
37;ATTACKS4#S,3b,,00,-1'o0,x,*,x,®,y
38;ATTACKS4S,37.90,x,*
