frame;text
1;ATTACKS3S,1.00,-1,oo
2;ATTACKS3S,2.00,-1,oo
3;ATTACKS3S,3,00,=-1,00
4;ATTACKS3S,4_o00,-1,00
5;ATTACKS3S,s_oo,=-1,oo
6;oo",-,d3a3a1s,o,oo'9,SESDXDVLLV,SESMDVILV,O
7;oo,_1L-,oo,2,SENSADVLIV,Jd33718,SESASVLIv,Oo,Oo
8;ATTACKS3S,8.00,-1,00
9;ATTACKS3S,9_o00,-1,oo
10;ATTACKS3S,10,,-I,oo,"oo
11;ATTACKS3S
12;ATTACKS3S,12,,-I,oo,"oo
13;ATTACKS3S
14;ATTACKS3S,14,O00,-1*o00
15;ATTACKS3S,1S_o0,-1'o0
16;ATTACKS3S,Ib,,-1,oo,"oo
17;d3378,oO,SENSADVLIV,SESaSVLiv,O
18;O,ATTACKSAS,ATTACKS3S,18,00,O,SLEEP,-1"o0
19;O,ATTACKSAS,ATTACKSAS,19,00,O,SLEEP,-1,00
20;O,ATTACKSAS,ATTACKS3S,20,00,O,SLEEP,-1"o0
21;Oo,Oo,ATTACKS3S,SLEEP,ATTACKSAS
22;oof1-,d3a3a1s,o,00,"22,SESXMDVLIV,SESNDVILV,O
23;oof1-,d3a3a1s,o,oo"e2,SESXMDVLIV,SESNDVILV,O
24;r\,ATTACKS3S,24,,-I,oo,"oo
25;ATTACKS3S,es,,-!,oo,"oo
26;ATTACKS3S,2b_00,-1'o0
27;ATTACKS3S,27,00,-1'o0
28;ATTACKS3S,28,,-ty,oo,oo
29;ATTACKS3S,29_00,-1'o0
30;ATTACKS3S,30,,-ty,oo,oo
31;ATTACKS3S
32;ATTACKS3S,32,,-ty,oo,oo
33;oof1-,d3a3a1s,o,oo,"cE,SESXDVLIV,SESNDVILV,O
34;ATTACKS3S,34,oo,-1'o0
35;ATTACKS3S,3s,,-ty,oo,oo
36;ATTACKS3S,3b_,00,-1'o0
