frame;text
1;CATCH,o.oo,-1,00
2;CATCH,1.00,-1,oo
3;CATCH,2.00,-1,oo
4;CATCH,3,00,=-1,00
5;CATCH,4_o00,-1,00
6;CATCH,s_oo,=-1,oo
7;CATCH,boo,-1,oo
8;CATCH,7.00,-1,oo
9;CATCH,8.00,-1,00
10;CATCH,9_o00,-1,oo
11;10,00,CATCH,19,99
12;CATCH
13;12,00,CATCH,12,99
14;CATCH
15;CATCH,14,O00,-1*o00
16;1Ss_,00,CATCH,18,99
17;CATCH,Ib,,-1,oo,"oo
18;CATCH
19;18,00,CATCH,16.99
20;19,00,CATCH,19,99
21;CATCH,20,,-ty,oo,oo
22;CATCH
23;CATCH,22,,-ty,oo,oo
24;CATCH,23,,-ty,oo,oo
25;CATCH,24,,-I,oo,"oo
26;CATCH,es,,-!,oo,"oo
27;CATCH,2b_00,-!"oo
28;27,00,CATCH,27.99
29;CATCH,28,,-ty,oo,oo
