frame;text
1;oo,-1,oo,ATTACKI,1,ATTACKII1,SLEEP,Oo,Oo
2;ATTACKI,1,2.00,-1,oo
3;3,00,_oo,ATTACKI,1,ATTACKII1,SLEEP,Oo,Oo
4;ATTACKI,1,4_o00,-1,00
5;ATTACKI,1,s_oo,=-1,oo
6;ATTACKI,1,boo,-1,oo
7;ATTACKI,1,7.00,-1,oo
8;ATTACKI,1,8.00,-1,00
9;ATTACKI,1,9_o00,-1,oo
10;ATTACKI,1,10,,-I,oo,"oo
11;ATTACKI,1,ATTACKII1,SLEEP,Oo,Oo
12;ATTACKI,1,12,,-I,oo,"oo
13;ATTACKI,1
14;ATTACKI,1,14,00,-1°00
15;ATTACKI,1
16;ATTACKI,1
17;ATTACKI,1
18;ATTACKI,1,oo,"oo
19;O,ATTACKI!I,ATTACKII,19,00,-1"o0,O,SLEEP
20;O,ATTACKII,ATTACKII,20_00,-1'o0,O,SLEEP
21;ATTACKI,1,ATTACKII1,SLEEP,Oo,Oo
22;ATTACKI,1
23;ATTACKI,1,23,,-!,oo,"oo
24;ATTACKI,1,24,,-I,oo,"oo
25;ATTACKI,1,es,,-!,oo,"oo
26;ATTACKI,1,2b,,-!,oo,"oo
27;ATTACKI,1,27,00,-1°00
28;ATTACKI,1,28,00,-1'o00
