frame;text
1;ATTACKAIRN,1.00,-1,oo
2;ATTACKAIRN,2.00,-1,oo
3;ATTACKAIRN,3,00,=-1,00
4;ATTACKAIRN,4_o00,-1,00
5;ATTACKAIRN,s_oo,=-1,oo
6;ATTACKAIRN,boo,-1,oo
7;ATTACKAIRN,7.00,-1,oo
8;ATTACKAIRN,8.00,-1,00
9;ATTACKAIRN,9_o00,-1,oo
10;ATTACKAIRN,10,,-I,oo,"oo
11;ATTACKAIRN
12;ATTACKAIRN,12,,-I,oo,"oo
13;ATTACKAIRN
14;ATTACKAIRN,14,00,-1°00
15;ATTACKAIRN,1S,,-I,oo,"oo
16;ATTACKAIRN,Ib,,-1,oo,"oo
17;ATTACKAIRN
18;ATTACKAIRN,x,oo,"oo
19;ATTACKAIRN,x,*,9,,-I,oo,"oo
20;ATTACKAIRN,20,,-!,oo,"oo
21;ATTACKAIRN
22;ATTACKAIRN,22,,-!,oo,"oo
23;ATTACKAIRN,23_00,-1"o0
24;ATTACKAIRN,eu,_oo,-1'o0
25;2s_o0,-1"oo0,ATTACKAIRN,ATTACKAIRN,SLEEP,Oo,Oo
26;ATTACKAIRN,),B:,+,"x,*,+,x,$x,ae,2b,,-1"'o00,oo
27;ATTACKAIRN,e7,,-1,oo,"oo
28;oof1-,d3a3a1s,o
29;_oo,-1'o0,2a,ATTACKAIRN,ATTACKAIRN,SLEEP,Oo,Oo
30;ATTACKAIRN,30,,-!,oo,"oo
31;ATTACKAIRN,ATTACKAIRN,SLEEP,Oo,Oo
32;ATTACKAIRN,.,‘9,32,,-ty,oo,oo
33;oof1-,d3a3a1s,o,oo,EE,NMIVADVLLV,NMYIVaASVLiv,O
34;ATTACKAIRN,34,-I,oo,"oo
35;ATTACKAIRN,3s,,-!,oo,"oo
36;ATTACKAIRN,3b,00,-1"oo
37;oo:,oo,eel,2E—,NMYIVADVLLIV
38;ATTACKAIRN,38,,-ty,oo,oo
39;ATTACKAIRN,x,x,39,,-1,oo,"oo
40;ATTACKAIRN,4O.,-I,oo,"oo
41;ATTACKAIRN
42;ATTACKAIRN,42_00,-1'o00
43;ATTACKAIRN,43_00,-1°00
44;ATTACKAIRN,44,-1,_oo,oo
45;ATTACKAIRN,4S_00,-1°00
46;ATTACKAIRN,4b_00,-1°00
47;ATTACKAIRN,47,00,-1°00
48;ATTACKAIRN,48_00,-1°00
