frame;text
1;ESCAPEB,oo,oo
2;ESCAPEB,oo,oo
3;ESCAPEB,2.00,-1,oo
4;ESCAPEB,3,00,=-1,00
5;ESCAPEB,4_o00,-1,00
6;ESCAPEB,s_oo,=-1,oo
7;ESCAPEB,boo,-1,oo
8;ESCAPEB,7.00,-1,oo
9;ESCAPEB,8.00,-1,00
10;ESCAPEB,9_o00,-1,oo
11;10,00,ESCAPEB,10,99
12;ESCAPEB
13;ESCAPEB
14;ESCAPEB
15;ESCAPEB,14,O00,-1*o00
16;ESCAPEB,1S,,-I,oo,"oo
17;1b,OO,ESCAPEB,16,99,ho
18;ESCAPEB
19;ESCAPEB,oo,oo,i
20;1900,ESCAPEB,19,09
21;ESCAPEB,20,,-ty,oo,oo
22;ESCAPEB
23;ESCAPEB,22,,-ty,oo,oo
24;ESCAPEB
25;24,00,ESCAPEB,24.09
26;ESCAPEB,es,,-!,oo,"oo
27;ESCAPEB,2b,,-!,oo,"oo
28;27,00,ESCAPEB,27.99
29;ESCAPEB
30;29,00,ESCAPEB,29,99
