frame;text
1;247,1.00,-1,oo
2;247,2.00,-1,oo
3;247,3,00,=-1,00
4;247,4_o00,-1,00
5;247,s_oo,=-1,oo
6;247,boo,-1,oo
7;247,7.00,-1,oo
8;247,8.00,-1,00
9;247,9_o00,-1,oo
10;10,00,ea7,19.06
11;247
12;247,12,,-I,oo,"oo
13;247
14;oo,343,SLEEP,247,14,00,-1°00
15;247
16;Ib_oOo0,247,16,00
17;247
18;247
19;247
20;247
21;247
22;247
23;247
24;247
25;Oo,344,O,SLEEP,278,o.oo,-1,00
26;Oo,344,O,SLEEP,278,1.00,-1,oo
27;Oo,344,O,SLEEP,278
28;Oo,344,O,SLEEP,278,3,00,=-1,00
29;Oo,344,O,SLEEP,278,4+,oO
30;Oo,344,O,SLEEP,278,s_oo,=-1,oo
31;Oo,344,O,SLEEP,278,boo,-1,oo
32;Oo,344,O,SLEEP,278,7.00,-1,oo
33;Oo,344,O,SLEEP,278,8.00,-1,00
34;Oo,344,O,SLEEP,278,9_o00,-1,oo
35;Oo,O,SLEEP,344,298,10,00,-1'o0
36;Oo,344,O,SLEEP,278
37;Oo,O,SLEEP,344,298,12,00,-1'o0
38;2a9,o.oo,-1,00
39;2a9,1.00,-1,oo
40;oo,2a9,2.00,-1,oo
41;Oo,34S,O,SLEEP
42;2a9,4_o00,-1,00
43;2a9
44;2a9,boo,-1,oo
45;2a9,7.00,-1,oo
46;2a9,8.00,-1,00
47;2a9,9_o00,-1,oo
48;2a9,10,,-I,oo,"oo
49;2a9
50;12,00,ea9,17.06
51;
52;2a9,14,O00,-1*o00
53;1s_,00,e990,19.06
54;Ib_oOo0,2949,16,00
55;2a9
56;168,00,e990,16.06
57;19,00,2949,17.60
58;2a9,20,,-ty,oo,oo
59;2a9
60;2a9
61;Tc,T,fu
62;Tc,T,fu
63;2a9
64;2a9,2b.,oo,oo,"oo
65;e7_.00,ea9,He,22
66;2a9
67;29,00,e990,e708
68;2a9,30,,-ty,oo,oo
69;2a9
70;2a9,32,,-!
71;2a9
72;2a9,34,-I,oo,"oo
73;2a9
74;2a9
75;2a9
76;2a9
