frame;text
1;ESCAPEN,1.00,-1,oo
2;ESCAPEN,1.00,-1,oo
3;ESCAPEN,2.00,-1,oo
4;ESCAPEN,3,00,=-1,00
5;ESCAPEN,4_o00,-1,00
6;ESCAPEN,s_oo,=-1,oo
7;ESCAPEN,boo,-1,oo
8;ESCAPEN,7.00,-1,oo
9;ESCAPEN,8.00,-1,00
10;ESCAPEN,9_o00,-1,oo
11;10,00,ESCAPEN,19,99
12;ESCAPEN
13;ESCAPEN,12,,-I,oo,"oo
14;ESCAPEN
15;ESCAPEN,14,00,-1°00
16;1S_o0,ESCAPEN,'s,99
17;1b,OO,ESCAPEN,16,99
18;ESCAPEN
19;ESCAPEN,oo,"oo
20;ESCAPEN,|,-1",oo,"oo
21;ESCAPEN,20,,-ty,oo,oo
22;ESCAPEN
23;ESCAPEN,22,,-ty,oo,oo
24;ESCAPEN,23,,-ty,oo,oo
25;24,00,ESCAPEN,e400
26;ESCAPEN,es,,-ty,oo,oo
27;2b_00,ESCAPEN,2b,.90
28;27,00,ESCAPEN,27.90
29;ESCAPEN,28,,-!,oo,"oo
30;ESCAPEN,29,00,=1"'00
31;ESCAPEN,30,00,=1'o00
