frame;text
1;ATTACKAIRHI,1.00,-1,oo
2;ATTACKAIRHI,2.00,-1,oo
3;ATTACKAIRHI,3,00,=-1,00
4;ATTACKAIRHI,4_o00,-1,00
5;ATTACKAIRHI,s_oo,=-1,oo
6;ATTACKAIRHI,boo,-1,oo
7;ATTACKAIRHI,7.00,-1,oo
8;ATTACKAIRHI,8.00,-1,00
9;ATTACKAIRHI,9_o00,-1,oo
10;ATTACKAIRHI,10,00,-1'o0
11;ATTACKAIRHI
12;ATTACKAIRHI,12,,-I,oo,"oo
13;ATTACKAIRHI
14;
15;Pa,I,"4,H,¢<,14,VU,¢,Fe,=,<,a,w,wW,J,7,Oo,Oo,x,*
16;Py,x,"4,H,¢<,14,VU,¢,kK,kK,<,a,w,wW,J,u,Oo,Oo
17;
18;O,ATTACKATIRHI,O,SLEEP
19;O,ATTACKAIRHI,19,00,O,SLEEP,-1°,oo
20;oof1-,d3a31s,oO,oo,"oe,IHYIV>D,v,IHMIVaDVLLVY,O
21;Qo,Oo,ATTACKAIRHI,SLEEP,Oe
22;J3378S,a,IHMIVaSvVLiv,O,svi
23;O,ATTACKAIRHI,ATTACKAIRHI,23,00,O,SLEEP,wr,-1"o0
24;O,ATTACKAIRHI,ATTACKAIRHI,ey,.00,O,SLEEP,.,8
25;oof1-,d3a3a1s,o
26;alt,J3a318S,a,oo,92,IHN,IVADVLIv,IHMIVaADVvLiv,O
27;oof1-,d3a3a1s,o
28;O,ATTACKAIRHI,ATTACKAIRHI,28.00,O,SLEEP,-1"o0,x
29;oof1-,d3a3a1s,o
30;oof1-,d3a3a1s,o,00,"oe,IHYIVADVLLV,IHMIVaDVLIV,Oo
31;=,d3378,oO
32;O,ATTACKAIRHI,ATTACKAIRHI,32,00,O,SLEEP,-1"oo0
33;O,ATTACKAIRHI,ATTACKAIRHI,33,00,O,SLEEP,-1"o0
34;O,ATTACKAIRHI,ATTACKAIRHI,34,_o00,O,SLEEP,-1,00
35;O,ATTACKAIRHI,ATTACKAIRHI,35,00,O,SLEEP,-1"o0
36;ATTACKAIRHI,Bb.,-!,oo,"oo
37;ATTACKAIRHI,37,,-1,oo,"oo
38;ATTACKAIRHI,38,,-!,oo,"oo
39;ATTACKAIRHI,39,,-1,oo,"oo
40;ATTACKAIRHI,4O.,-I,oo,"oo
41;ATTACKAIRHI
42;ATTACKAIRHI,42_00,-1'o0
43;ATTACKAIRHI,43_00,-1"o0
44;ATTACKAIRHI,44,OO,-1*o00
45;ATTACKAIRHI,4S_o00,-1"o0
46;ATTACKAIRHI,4b_O0,-1'o0
47;ATTACKAIRHI,4+7_00,-1'o0
48;ATTACKAIRHI,48_00,-1'o0
49;ATTACKAIRHI,4#9_00,-1700
50;ATTACKAIRHI,so,,-ty,oo,oo
51;ATTACKAIRHI
52;ATTACKAIRHI,s2,,-ty,oo,oo
53;ATTACKAIRHI,s3,,-ty,oo,oo
