frame;text
1;ATTACKHI4,1.00,-1,oo
2;ATTACKHI4,1.00,-1,oo
3;ATTACKHI4,2.00,-1,oo
4;ATTACKHI4,3,00,=-1,00
5;ATTACKHI4,4_o00,-1,00
6;O,ATTACKHI4,ATTACKHI4,s_oo,O,SLEEP,-1_o00
7;ATTACKHI4,boo,-1,oo
8;ATTACKHI4,7.00,-1,oo
9;ATTACKHI4,8.00,-1,00
10;ATTACKHI4,9_o00,-1,oo
11;ATTACKHI4,10,00,-1'o0
12;Oo,Oo,ATTACKHI4,SLEEP,ATTACKHI4
13;ATTACKHI4,12,00,-1'o0
14;ATTACKHI4,+
15;ATTACKHI4,14,O00,-1*o00
16;ATTACKHI4,1S_.o0,-1'o0
17;ATTACKHI4,_k
18;ATTACKHI4
19;ATTACKHI4
20;ATTACKHI4
21;ATTACKHI4,20,,-ty,oo,oo
22;ATTACKHI4
23;ATTACKHI4
24;ATTACKHI4
25;ATTACKHI4,2400,-1,00
26;ATTACKHI4
27;ATTACKHI4,2b,,-!,oo,"oo
28;ATTACKHI4
29;ATTACKHI4,28,,-ty,oo,oo
30;ATTACKHI4
31;ATTACKHI4
32;ATTACKHI4
33;ATTACKHI4
34;ATTACKHI4,33,,-ty,oo,oo
35;O,ATTACKHI4,ATTACKHI4,34,00,O,SLEEP
36;Oo,Oo,ATTACKHI4,SLEEP,ATTACKHI4
37;ATTACKHI4,Bb.,-!,oo,"oo
38;ATTACKHI4
39;ATTACKHI4,38,,-ty,oo,oo
40;ATTACKHI4
41;ATTACKHI4,40,00,-1'o0
42;ATTACKHI4
43;ATTACKHI4,42,00,-1'o0,«
44;ATTACKHI4,43.,-I,oo,"oo
45;ATTACKHI4,44,OO,-1*o00
46;ATTACKHI4,45.00,-1'o0
47;ATTACKHI4,4b.,-I,oo,"oo
48;ATTACKHI4,47),-I,oo,"oo
49;ATTACKHI4,48,00,-1'o0
50;ATTACKHI4,49,,-!1,oo,"oo
51;ATTACKHI4,so,,-!,oo,"oo
52;ATTACKHI4
53;ATTACKHI4,s2,,-ty,oo,oo
54;ATTACKHI4,s3,o00,=-1"'00
55;ATTACKHI4,s4¥_o0,=1°00
