frame;text
1;ATTACKHI3,1.00,-1,oo
2;ATTACKHI3,2.00,-1,oo
3;ATTACKHI3,3,00,=-1,00
4;ATTACKHI3,4_o00,-1,00
5;ATTACKHI3,s_oo,=-1,oo
6;ATTACKHI3,boo,-1,oo
7;QO,ATTACKHIS,ATTACKHI3,7.00,O,SLEEP,-1_o0
8;QO,ATTACKHIS,ATTACKHI3,8.00,O,SLEEP,-1_o00
9;QO,ATTACKHIS,ATTACKHI3,9.00,O,SLEEP,-1_o00
10;O,ATTACKHIS,ATTACKHI3,10,00,O,SLEEP,-1,00
11;Oo,Oo,ATTACKHI3,SLEEP,ATTACKHI3
12;ATTACKHI3,12,,-I,oo,"oo
13;ATTACKHI3
14;ATTACKHI3,14,O00,-1*o00
15;ATTACKHI3,1S,,-I,oo,"oo
16;ATTACKHI3
17;ATTACKHI3
18;ATTACKHI3
19;ATTACKHI3,1900,-1'o0
20;ATTACKHI3,20,,-ty,oo,oo
21;ATTACKHI3
22;ATTACKHI3
23;ATTACKHI3,23,,-ty,oo,oo
24;ATTACKHI3
25;ATTACKHI3,es,,-!,oo,"oo
26;ATTACKHI3,ATTACKHI35,SLEEP,Oo,Oo
27;ATTACKHI3
28;ATTACKHI3
29;ATTACKHI3,ea,,-1,oo,"oo
30;ATTACKHI3,x,x,x
31;ATTACKHI3
32;Oo,Oo,ATTACKHI3,SLEEP,ATTACKHI3,naa,x,x,x
33;Oo,Oo,ATTACKHI3,SLEEP,ATTACKHI3
34;Oo,Oo,ATTACKHI3,SLEEP,ATTACKHI3
35;QO,ATTACKHIS,ATTACKHI3,35.00,O,SLEEP,-1"o0
36;QO,ATTACKHIS,ATTACKHI3,3b,,00,O,SLEEP,-1"oo0
37;QO,ATTACKHIS,ATTACKHI3,37,00,O,SLEEP,-1"o0
38;Oo,Oo,ATTACKHI3,SLEEP,ATTACKHI3
39;QO,ATTACKHIS,ATTACKHI3,39,00,O,SLEEP,-1"o0
40;ATTACKHI3,40,00,-1700
41;ATTACKHI3,rd
42;ATTACKHI3,42_00,-1'o00
